	Unnamed: 0	Datetime	Tweet ID	Text	Username	Location
76	76	2022-10-04 14:27:59+00:00	1577304530941005824	Dan bandung bagiku adalah macet dan banjir dan flyover	fuadsyakir	
77	77	2022-10-03 13:11:56+00:00	1576923004973371392	@PRFMnews Ka warga Bandung sing salabar, nanti d buatin flyover Gedebage, flyover Cibiru, flyover Ujungberung, pokona menuju Bandung seribu flyover, wios banjir sareng macet ge nu penting seeur flyover, antosan peresmian na we	its_a_pe	
78	78	2022-10-03 12:48:33+00:00	1576917120465543168	"Sementara itu, foto walkotnya “nyampah” di setiap sudut kota dengan tulisan “selamat ulang tahun Kota Bandung”🤮🤮

Ngarayakeun naon sia? Jalan pararoék, macet di mana2, masalah transport publik teu beres2, flyover weh hayoh, halte teu kaurus, dll dll"	fchkautsar	
79	79	2022-10-03 06:12:32+00:00	1576817458081828865	@rnarveIous @txtdaribandung banyak flyover makin banyak yang punya mobil pribadi. masuk tol tetep macet. Kota semaju Bandung belum ada subway atau sejenisnya sampe sekarang.	radi_TY0	
80	80	2022-10-02 10:46:12+00:00	1576523942541787141	@PRFMnews Hanya flyover aja solusi macet di Bandung	gan_deden	
81	81	2022-09-29 05:20:39+00:00	1575354848195018753	@srirrhy gapapa, sekalian ngebuktiin aja pembangunan flyover di Bandung yang banyak itu, yang katanya dibangun untuk mengatasi macet th beneran efektif ga	__on_your_triu	
82	82	2022-09-26 13:58:00+00:00	1574397881620254721	"Buat temen-temen yang di Bandung yuk kasih masukan/kritik soal keamanan kota Bandung. 

Gamau kan liat berita kejahatan terus di kota banjir, macet, flyover teu di buka, begal dimana-mana, lampu jalan paroek ini?

Gass reply di tweet dibawah ini!"	papaojol	
83	83	2022-09-25 10:33:28+00:00	1573984021125611520	Selamat ulang tahun yang ke 212, Bandung. Dan Bandung bagiku hanya seputar macet, transportasi publik yang semrawut, gangster yang hampir tiap malam chaos, banjir, dan flyover dimana-mana. Sisanya cuma romantisasi masa lalu yang gabakal pernah ada titik temunya. https://t.co/hXw9iAeFfL	dimitigaa	
84	84	2022-09-25 04:28:25+00:00	1573892151842598912	Selamat hari jadi Kota Bandung. Kota yang s'lalu diromantisasi pelancong, namun sebagian wilayah masih banyak tenggelam oleh lautan banjir, kota sejuta flyover tapi macet dimana-mana, transportasi yang buruk, lampu jalan paroek siga di saritem. wilujeung, sing gaduh walikota~ https://t.co/xrbhxJJpEV	praddd10	
85	85	2022-09-24 16:06:55+00:00	1573705548146520064	nyieun flyover meunang macet hungkul lamun ceuk urg mah skalian nyieun bandung lt 2. sampurasun thanks mamang	S4YURGANJA	
86	86	2022-09-22 14:42:30+00:00	1572959527120805888	@txtdaribandung Hantem we flyover. Transportasi umum benerkeun. Bandung moal jauh ti macet ari nu diheulakeun teh kendaraan pribadi. Rek nyieun flyover sapuluh tingkat diseluruh jalan Bandung, ari wargana kapaksa make kendaraan pribadi mah ulah ngimpi jalan Bandung bakal lancar, lah.	starlightsea_	
87	87	2022-09-22 10:01:24+00:00	1572888786270552069	Bandung Kota Flyover (tapi gak guna da macet keneh)	rijqaa	
88	88	2022-09-22 09:13:48+00:00	1572876808324022274	"@sayahariodanang kircon bubat itu astaga emang langganan macet parah, aduh ga kebayang deh dalam berapa tahun itu bakal nunggu dan bermacet ria lebih parah lagii sambil ngebangun flyover, 

aku penasaran banget lho kak jadinya sama urgensinya apa, bandung ni beneran bakal jadi kota car-center :("	almondnhazelnut	
89	89	2022-09-22 06:22:44+00:00	1572833759220486144	Kalo alesannya flyover di Bandung buat mengurangi macet akibat volume kendaraan yang bertambah mah malah bukan solusi yang efektif sih. Bbrp daerah yang ada flyovernya aja ternyata masih tetep macet.	dudangduding	
90	90	2022-09-22 05:21:29+00:00	1572818345556324353	"@txtdaribandung Kampus-kampus hebat seueur di Bandung teh, Pakar Transportasi sareng Tata Kota oge pasti teu kirang. Naha tara disuhunkeun masukana ? Atanapi asal aya Proyek ? 😌
FLYOVER ngabanguna bikin Macet, dina beresna oge kirang berpengaruh 🙏"	elkarim_ub	
91	91	2022-09-20 11:28:08+00:00	1572185839316369410	"@anton_sukisno @KemenPU Sangat....
Yang paling dibutuhkan juga adalah flyover Kereta Api dari Stasiun Kiara Condong sampai Stasiun Cimindi 
.
Inshaallah macet di Bandung berkurang signifikan.
@jokowi
@keretaapikita 
@kemenhub151"	arifin34533	
92	92	2022-09-16 10:00:26+00:00	1570714215664726021	Belum Diresmikan, Flyover Kopo Bandung Kerap Dibuka untuk Urai Macet https://t.co/ElDv0zFNlc	detik_jabar	
93	93	2022-09-16 08:05:09+00:00	1570685206587412481	"Dan level buruknya transportasi dan mobilitas di Bandung udah gak bisa diSEMOGAin lagi. Udah level kudu organisir, demo, dll dll … 

Ee tapi kalau udah seneng2 aja terjebak macet krn flyover baru ya dah gimana lagi … 😅"	elisa_jkt	
94	94	2022-09-16 00:10:31+00:00	1570565759214157826	ini kayanya yg bikin perencanaan jalan dan flyover di bandung perlu fokus studi UX deh. ambil contoh flyover bypass buat menghindari macet yg ternyata bisa berkurang hanya dengan pemanfaatan turn over.	adkrmj	
95	95	2022-09-12 00:47:11+00:00	1569125434092302340	Iraha Bandung bisa kieu? Kalahkah weh flyover murudul tapi jalan macet wae jeung mun hujan jadi karang setra.	Didntlike_	
96	96	2022-09-11 06:54:54+00:00	1568855586154102785	"@infobdg @blue_banditos itu alasan pemerintahan kota Bandung sangat suka membangun flyover, sebetulnya diperuntukan untuk pengendara motor berteduh dr panas dan hujan, bukan mengatasi macet.
da gening angger weh macet mah keneh keneh kehed, jeng rada jauh saeutik hungkul mun rek muter balik. 
nuhun"	fahmidoenz	
97	97	2022-09-08 03:15:39+00:00	1567713248216231936	bayangin dari gatsu ke kuningan deket bgt harusnya kepleset sampe, eh kemaren macet jadi hampir 3 jam...... kalo orang normal udah sampe bandung kali 😭 i had to literally get out of the driver's car in the middle of flyover and chose to ngojol instead IT WAS WILDDDD	cellyszn	
98	98	2022-08-19 11:23:52+00:00	1560588352742891521	"Bandung daerah pasteur flyover macet banget dari ujung ke ujung anjjiirr aslidah..😫

Dari tempat kerja kerumah hampir 2 jam, biasanya 20 menit doang"	kopiluna_	
99	99	2022-08-19 09:19:38+00:00	1560557089520783361	Liat netijen bandung pada kejebak macet di flyover 2 jam mending aku melipir dulu deh ini mah 😂	intanprilianti	
100	100	2022-08-14 06:29:40+00:00	1558702375543926784	Butuh flyover riung bandung - kopo. Agar tidak dan ga terjebak macet perempatan jahanam	beyourjune	
101	101	2022-08-05 04:20:10+00:00	1555408297489969153	@infobdg Bandung bisanya cmn flyovar flyover pdhl mah semuaa org tau supaya tidak macet kudu ada transportasi publik mah yg baik dan benar.	joelianbandung	
102	102	2022-08-03 05:47:53+00:00	1554705596125171714	Daripada buat flyover, itu benerin dulu transportasinya, masa jalur busway gk ada jalur khusus kek di Jakarta. Mana macet banget lagi pas  main ke Bandung.	erenyuh	
103	103	2022-08-02 05:44:20+00:00	1554342315082125312	"ide bandung mentok di flyover sugan

macet?
bikin transportasi publik yang bagus sehingga mengurangi volume kendaraan pribadi❌
bikin flyover ✅"	ariesM_	
104	104	2022-07-27 03:42:08+00:00	1552137234727718912	"Solusi macet Bandung?
Bangun Flyover.
Flyover dimana-mana.
Padahal kereta lokal bisa dijadiin KRL. 

Tapi, pagi-pagi cakep juga sih. Dari atas flyover bisa lihat gunung-gunung sekeliling Bandung."	masjacobmu	
105	105	2022-07-27 02:28:51+00:00	1552118791274131457	"ternyata emang bukan perasaan gw aja belakangan kepadatan kendaraan ini tinggi banget. terus abis ngobrol sama emak tentang macet ini katanya micro-bus yang trayek gunung batu aja uda gk aktif lagi sekarang. emang 🤡🤡🤡

flyover dari cimahi lsg ke tengah bandung plzzz. :)))"	Auliman_Arga	
106	106	2022-07-21 06:03:49+00:00	1549998564293898240	@erickericericc @Outstandjing Solusi macet ti Bandung: bikin flyover 🙏🏾	akhi_rudin	
107	107	2022-07-17 14:57:31+00:00	1548683321030643712	ngow gacoan cabang baru bandung tuh di bawah flyover gatsu... orgil anjir baru aja gak macet disitu teh wkwk 😭	diarysivirgo	
108	108	2022-06-09 07:44:57+00:00	1534803722965897216	"Bandung macet  ➡️ nyieun flyover
Bandung macet ➡️ nyieun flyover
Punten, di cor weh dua lantai keun.
Pameng."	yuhuaha	
